HORAPK;HORAN;HORA;MINUTO;SEGUNDO;HORAINGRESO;HORACIERREAGENCIA;HORAALMUERZO;HORASALIDA;HORALABORABLE;
626;00:06:26;0;6;26;N;N;N;N;N;00:06:26
627;00:06:27;0;6;27;N;N;N;N;N;
628;00:06:28;0;6;28;N;N;N;N;N;
631;00:06:31;0;6;31;N;N;N;N;N;
632;00:06:32;0;6;32;N;N;N;N;N;
633;00:06:33;0;6;33;N;N;N;N;N;
634;00:06:34;0;6;34;N;N;N;N;N;
635;00:06:35;0;6;35;N;N;N;N;N;
638;00:06:38;0;6;38;N;N;N;N;N;
640;00:06:40;0;6;40;N;N;N;N;N;
641;00:06:41;0;6;41;N;N;N;N;N;
642;00:06:42;0;6;42;N;N;N;N;N;
643;00:06:43;0;6;43;N;N;N;N;N;
645;00:06:45;0;6;45;N;N;N;N;N;
646;00:06:46;0;6;46;N;N;N;N;N;
647;00:06:47;0;6;47;N;N;N;N;N;
650;00:06:50;0;6;50;N;N;N;N;N;
653;00:06:53;0;6;53;N;N;N;N;N;
654;00:06:54;0;6;54;N;N;N;N;N;
655;00:06:55;0;6;55;N;N;N;N;N;
656;00:06:56;0;6;56;N;N;N;N;N;
657;00:06:57;0;6;57;N;N;N;N;N;
701;00:07:01;0;7;1;N;N;N;N;N;
702;00:07:02;0;7;2;N;N;N;N;N;
705;00:07:05;0;7;5;N;N;N;N;N;
706;00:07:06;0;7;6;N;N;N;N;N;
708;00:07:08;0;7;8;N;N;N;N;N;
709;00:07:09;0;7;9;N;N;N;N;N;
712;00:07:12;0;7;12;N;N;N;N;N;
713;00:07:13;0;7;13;N;N;N;N;N;
714;00:07:14;0;7;14;N;N;N;N;N;
717;00:07:17;0;7;17;N;N;N;N;N;
719;00:07:19;0;7;19;N;N;N;N;N;
720;00:07:20;0;7;20;N;N;N;N;N;
723;00:07:23;0;7;23;N;N;N;N;N;
725;00:07:25;0;7;25;N;N;N;N;N;
726;00:07:26;0;7;26;N;N;N;N;N;
727;00:07:27;0;7;27;N;N;N;N;N;
729;00:07:29;0;7;29;N;N;N;N;N;
730;00:07:30;0;7;30;N;N;N;N;N;
735;00:07:35;0;7;35;N;N;N;N;N;
736;00:07:36;0;7;36;N;N;N;N;N;
737;00:07:37;0;7;37;N;N;N;N;N;
738;00:07:38;0;7;38;N;N;N;N;N;
739;00:07:39;0;7;39;N;N;N;N;N;
742;00:07:42;0;7;42;N;N;N;N;N;
743;00:07:43;0;7;43;N;N;N;N;N;
745;00:07:45;0;7;45;N;N;N;N;N;
748;00:07:48;0;7;48;N;N;N;N;N;
750;00:07:50;0;7;50;N;N;N;N;N;
751;00:07:51;0;7;51;N;N;N;N;N;
753;00:07:53;0;7;53;N;N;N;N;N;
754;00:07:54;0;7;54;N;N;N;N;N;
756;00:07:56;0;7;56;N;N;N;N;N;
759;00:07:59;0;7;59;N;N;N;N;N;
800;00:08:00;0;8;0;N;N;N;N;N;
802;00:08:02;0;8;2;N;N;N;N;N;
803;00:08:03;0;8;3;N;N;N;N;N;
805;00:08:05;0;8;5;N;N;N;N;N;
808;00:08:08;0;8;8;N;N;N;N;N;
809;00:08:09;0;8;9;N;N;N;N;N;
811;00:08:11;0;8;11;N;N;N;N;N;
812;00:08:12;0;8;12;N;N;N;N;N;
813;00:08:13;0;8;13;N;N;N;N;N;
817;00:08:17;0;8;17;N;N;N;N;N;
819;00:08:19;0;8;19;N;N;N;N;N;
820;00:08:20;0;8;20;N;N;N;N;N;
821;00:08:21;0;8;21;N;N;N;N;N;
824;00:08:24;0;8;24;N;N;N;N;N;
825;00:08:25;0;8;25;N;N;N;N;N;
826;00:08:26;0;8;26;N;N;N;N;N;
827;00:08:27;0;8;27;N;N;N;N;N;
832;00:08:32;0;8;32;N;N;N;N;N;
833;00:08:33;0;8;33;N;N;N;N;N;
835;00:08:35;0;8;35;N;N;N;N;N;
836;00:08:36;0;8;36;N;N;N;N;N;
837;00:08:37;0;8;37;N;N;N;N;N;
838;00:08:38;0;8;38;N;N;N;N;N;
842;00:08:42;0;8;42;N;N;N;N;N;
843;00:08:43;0;8;43;N;N;N;N;N;
845;00:08:45;0;8;45;N;N;N;N;N;
847;00:08:47;0;8;47;N;N;N;N;N;
849;00:08:49;0;8;49;N;N;N;N;N;
850;00:08:50;0;8;50;N;N;N;N;N;
853;00:08:53;0;8;53;N;N;N;N;N;
854;00:08:54;0;8;54;N;N;N;N;N;
855;00:08:55;0;8;55;N;N;N;N;N;
857;00:08:57;0;8;57;N;N;N;N;N;
900;00:09:00;0;9;0;N;N;N;N;N;
901;00:09:01;0;9;1;N;N;N;N;N;
903;00:09:03;0;9;3;N;N;N;N;N;
906;00:09:06;0;9;6;N;N;N;N;N;
907;00:09:07;0;9;7;N;N;N;N;N;
908;00:09:08;0;9;8;N;N;N;N;N;
909;00:09:09;0;9;9;N;N;N;N;N;
911;00:09:11;0;9;11;N;N;N;N;N;
915;00:09:15;0;9;15;N;N;N;N;N;
917;00:09:17;0;9;17;N;N;N;N;N;
918;00:09:18;0;9;18;N;N;N;N;N;
919;00:09:19;0;9;19;N;N;N;N;N;
920;00:09:20;0;9;20;N;N;N;N;N;
923;00:09:23;0;9;23;N;N;N;N;N;
924;00:09:24;0;9;24;N;N;N;N;N;
926;00:09:26;0;9;26;N;N;N;N;N;
929;00:09:29;0;9;29;N;N;N;N;N;
931;00:09:31;0;9;31;N;N;N;N;N;
932;00:09:32;0;9;32;N;N;N;N;N;
933;00:09:33;0;9;33;N;N;N;N;N;
935;00:09:35;0;9;35;N;N;N;N;N;
937;00:09:37;0;9;37;N;N;N;N;N;
939;00:09:39;0;9;39;N;N;N;N;N;
941;00:09:41;0;9;41;N;N;N;N;N;
943;00:09:43;0;9;43;N;N;N;N;N;
944;00:09:44;0;9;44;N;N;N;N;N;
945;00:09:45;0;9;45;N;N;N;N;N;
949;00:09:49;0;9;49;N;N;N;N;N;
950;00:09:50;0;9;50;N;N;N;N;N;
951;00:09:51;0;9;51;N;N;N;N;N;
953;00:09:53;0;9;53;N;N;N;N;N;
954;00:09:54;0;9;54;N;N;N;N;N;
957;00:09:57;0;9;57;N;N;N;N;N;
1000;00:10:00;0;10;0;N;N;N;N;N;
1001;00:10:01;0;10;1;N;N;N;N;N;
1002;00:10:02;0;10;2;N;N;N;N;N;
1005;00:10:05;0;10;5;N;N;N;N;N;
1006;00:10:06;0;10;6;N;N;N;N;N;
1007;00:10:07;0;10;7;N;N;N;N;N;
1008;00:10:08;0;10;8;N;N;N;N;N;
1013;00:10:13;0;10;13;N;N;N;N;N;
1014;00:10:14;0;10;14;N;N;N;N;N;
1015;00:10:15;0;10;15;N;N;N;N;N;
1017;00:10:17;0;10;17;N;N;N;N;N;
1018;00:10:18;0;10;18;N;N;N;N;N;
1019;00:10:19;0;10;19;N;N;N;N;N;
1023;00:10:23;0;10;23;N;N;N;N;N;
1024;00:10:24;0;10;24;N;N;N;N;N;
1026;00:10:26;0;10;26;N;N;N;N;N;
1027;00:10:27;0;10;27;N;N;N;N;N;
1030;00:10:30;0;10;30;N;N;N;N;N;
1031;00:10:31;0;10;31;N;N;N;N;N;
1033;00:10:33;0;10;33;N;N;N;N;N;
1035;00:10:35;0;10;35;N;N;N;N;N;
1036;00:10:36;0;10;36;N;N;N;N;N;
1038;00:10:38;0;10;38;N;N;N;N;N;
1041;00:10:41;0;10;41;N;N;N;N;N;
1042;00:10:42;0;10;42;N;N;N;N;N;
1044;00:10:44;0;10;44;N;N;N;N;N;
1047;00:10:47;0;10;47;N;N;N;N;N;
1048;00:10:48;0;10;48;N;N;N;N;N;
1049;00:10:49;0;10;49;N;N;N;N;N;
1050;00:10:50;0;10;50;N;N;N;N;N;
1051;00:10:51;0;10;51;N;N;N;N;N;
1056;00:10:56;0;10;56;N;N;N;N;N;
1057;00:10:57;0;10;57;N;N;N;N;N;
1059;00:10:59;0;10;59;N;N;N;N;N;
1100;00:11:00;0;11;0;N;N;N;N;N;
1101;00:11:01;0;11;1;N;N;N;N;N;
1103;00:11:03;0;11;3;N;N;N;N;N;
1105;00:11:05;0;11;5;N;N;N;N;N;
1107;00:11:07;0;11;7;N;N;N;N;N;
